grid_ordinal,batch_id,method,e,bh,trw,k,w,m,entry_fill_mode,entry_execution_policy,entry_slippage,speed_window_bars,baseline_sampling_policy,combo_id,strategy_id,exit_mode,speed_exit_enabled,rebound_exit_enabled,train_trade_count,train_return,train_return_excluding_gap_spanning_trades,train_avg_trade,train_max_drawdown,gap_spanning_trade_count,high_single_bar_share_ge_0p8_count,signal_single_bar_share_median,signal_single_bar_share_p95,synthetic_signal_trade_count,segment_end_exit_count,rebound_exit_count,speed_exit_count,scenario_1_qualified,scenario_2_qualified,scenario_3_qualified,qualified_scenario_count,scenario_schema_id,scenario_selection_mode,train_max_drawdown_abs,source_campaign_id,source_stage_id,source_stage_root,source_plan_fingerprint,source_stage_key,scenario_3_qualified_segment_count,scenario_3_failed_segment_ids,train_cost_adjusted_return,train_cost_adjusted_avg_trade,train_cost_adjusted_max_drawdown,train_cost_adjusted_max_drawdown_abs,round_trip_cost_bps,estimated_total_commission_quote,estimated_total_slippage_quote,estimated_total_cost_quote,cost_quote_currency,cost_model_id,estimated_total_commission_krw,estimated_total_slippage_krw,estimated_total_cost_krw,waited_entry_count,maximum_entry_wait_bars,holding_bar_distance_median,holding_bar_distance_p95,scenario_3_cost_adjusted_return_rank,scenario_3_gross_return_rank,scenario_3_total_return_rank,scenario_3_diagnostic_rank,e_family,bh_family
226,batch_00029,rolling_tr_sum,216,360,7,0.6,96,1.1,calculated_threshold,wait_next_real_trade,0.0,54,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s54_rx1_e216_bh360_trw7_k0p6_w96_m1p1_f54f811e54,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1202,0.608397166755531,0.4154871714581567,0.0004140508137506,-0.0757351478367195,27,94,0.4414999414999585,0.8928088803088238,395,1,747,454,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0757351478367195,v4_4_positive_entry_signal_repair_20260805,continuation_round_107_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_107_ai_generated_leap_all_window,ff712acd79eb9a4fd9ad6ad513fb52ac905c8c5cd52be26d2edb0f9dcc64d2ff,v4_4_positive_entry_signal_repair_20260805::continuation_round_107_ai_generated_leap_all_window,2,market_01,0.047461896718459,5.718445430369385e-05,-0.1283024811619886,0.1283024811619886,3.568663594470046,10433600.4,13302534.0,23736134.4,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,10433600.4,13302534.0,23736134.4,8,8,41.0,190.95000000000005,,,,1550.0,,
2023,batch_00169,rolling_tr_sum,320,166,11,1.4,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e320_bh166_trw11_k1p4_w6_m4p5_e271c3bbc2,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,114,0.8563670116117852,0.0313572004991564,0.0056747641851579,-0.1445359843582134,35,3,0.2096931795974312,0.5293222096530883,69,1,36,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1445359843582134,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7827238342057121,0.0053178978257109,-0.1512753370368993,0.1512753370368993,3.568663594470046,989542.8,1261638.0,2251180.8000000003,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,989542.8,1261638.0,2251180.8000000003,1,1,576.0,1577.75,,,,9474.0,4.0,1.0
4600,batch_00384,rolling_tr_sum,528,171,12,1.26,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e528_bh171_trw12_k1p26_w6_m4p5_22eae85419,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,114,0.8570402618638853,0.0243481782126211,0.0056765924253833,-0.1505601953312855,35,4,0.209181670312387,0.5257793273175089,67,1,38,75,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1505601953312855,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7833707092266529,0.0053197260659363,-0.1575549548511862,0.1575549548511862,3.568663594470046,989542.8,1261638.0,2251180.8000000003,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,989542.8,1261638.0,2251180.8000000003,0,0,587.0,1577.75,,,,9472.0,,
79,batch_00010,rolling_tr_sum,112,612,24,1.6,16,2.0,calculated_threshold,wait_next_real_trade,0.0,308,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s308_rx1_e112_bh612_trw24_k1p6_w16_m2_f21ec85557,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,29,0.3987281052893043,0.1222846141625437,0.0118821538533042,-0.0395856136938818,7,1,0.188505747126443,0.4407166123778187,16,0,13,16,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0395856136938818,v4_4_positive_entry_signal_repair_20260805,continuation_round_14_large_multiblock_exploration_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_14_large_multiblock_exploration_all_window,821622055bbb47e9ed99b0415eac2b2465537466e000dc98c320ab3e7d6a9572,v4_4_positive_entry_signal_repair_20260805::continuation_round_14_large_multiblock_exploration_all_window,0,market_01|market_02|market_03,0.3844860944489954,0.0115252874938572,-0.0423379810072312,0.0423379810072312,3.568663594470046,251725.8,320943.0,572668.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,251725.8,320943.0,572668.8,0,0,441.0,1919.3999999999985,,,,10266.0,,
3533,batch_00295,rolling_tr_sum,320,240,21,1.05,6,4.5,calculated_threshold,wait_next_real_trade,0.0,330,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s330_rx1_e320_bh240_trw21_k1p05_w6_m4p5_e68e98b570,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,89,0.6049537711099231,0.0891846800166518,0.0055221559537638,-0.1035297989841416,26,2,0.1830985915492887,0.4802953391785959,54,0,25,64,True,True,False,2,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1035297989841416,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,2,market_03,0.555023524381232,0.0051652895943168,-0.1083933188062654,0.1083933188062654,3.568663594470046,772537.8,984963.0,1757500.8,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,772537.8,984963.0,1757500.8,0,0,542.0,1427.999999999999,,,,25.0,,
192,batch_00024,rolling_tr_sum,156,360,32,1.5,48,2.5,calculated_threshold,wait_next_real_trade,0.0,72,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s72_rx1_e156_bh360_trw32_k1p5_w48_m2p5_296d9d6f91,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,23,0.0682112749271652,0.0517119718804499,0.0029015487587029,-0.0099667653446392,1,3,0.2202216066481998,1.0,16,0,2,21,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0099667653446392,v4_4_positive_entry_signal_repair_20260805,continuation_round_21_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_21_ai_generated_leap_all_window,44e6f9849fd16b77332aa0a3dcde9dd4d7d11b3be89e26850ea52c9ef2fe88ca,v4_4_positive_entry_signal_repair_20260805::continuation_round_21_ai_generated_leap_all_window,0,market_01|market_02|market_03,0.0595024844668599,0.0025446823992559,-0.0120882786856403,0.0120882786856403,3.568663594470046,199644.6,254541.0,454185.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,199644.6,254541.0,454185.6,0,0,112.0,271.19999999999993,,,,16480.0,,
2296,batch_00192,rolling_tr_sum,320,171,10,1.54,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e320_bh171_trw10_k1p54_w6_m4p5_d49570fc7e,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,114,0.8557769690841064,0.0320278968803053,0.0056719285322532,-0.1448393435596481,35,3,0.2074526780408896,0.5164215686274534,69,1,36,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1448393435596481,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7821570004425482,0.0053150621728062,-0.151576413946563,0.151576413946563,3.568663594470046,989542.8,1261638.0,2251180.8000000003,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,989542.8,1261638.0,2251180.8000000003,1,1,571.5,1577.75,,,,9475.0,,
152,batch_00019,rolling_tr_sum,112,360,9,0.6,48,0.8,calculated_threshold,wait_next_real_trade,0.0,54,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s54_rx1_e112_bh360_trw9_k0p6_w48_m0p8_7aa99a539e,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,1198,0.5491098014398594,0.4573574460365217,0.00037935861487,-0.0935990401737199,18,87,0.3999999999999691,0.8956462585034086,467,1,955,242,False,True,False,1,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.0935990401737199,v4_4_positive_entry_signal_repair_20260805,continuation_round_86_ai_generated_leap_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_86_ai_generated_leap_all_window,9c30e5cc005ee3b3e764236d9e37c996ae68ec43fe5bb087205af2684d1cf1ff,v4_4_positive_entry_signal_repair_20260805::continuation_round_86_ai_generated_leap_all_window,2,market_01,0.0102810904974715,2.249225542310673e-05,-0.1365924091249752,0.1365924091249752,3.568663594470046,10398879.6,13258266.0,23657145.6,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,10398879.6,13258266.0,23657145.6,5,8,25.0,162.29999999999973,,,,1642.0,,
2033,batch_00170,rolling_tr_sum,320,167,11,1.4,6,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e320_bh167_trw11_k1p4_w6_m4p5_5229873469,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,115,0.8556136694110721,0.031062452562744,0.0056218926087848,-0.1446116422278659,35,3,0.2093023255814187,0.5223322021116104,70,1,37,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1446116422278659,v4_4_positive_entry_signal_repair_20260805,full_4704_coordinate_repair_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\full_4704_coordinate_repair_all_window,eab3c2715b59802e89bab23eb61dabd210395ccbda521a2f20f3819b54b9fa72,v4_4_positive_entry_signal_repair_20260805::full_4704_coordinate_repair_all_window,0,market_01|market_02|market_03,0.7813641831548592,0.0052650262493378,-0.1513504258267782,0.1513504258267782,3.568663594470046,998223.0,1272705.0,2270928.0,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,998223.0,1272705.0,2270928.0,1,1,570.0,1577.5,,,,9477.0,4.0,1.0
45,batch_00006,rolling_tr_sum,528,171,12,1.26,7,4.5,calculated_threshold,wait_next_real_trade,0.0,388,all_window,v4_4_rolling_tr_sum_bpall_window_fillcalculated_threshold_execwait_next_real_trade_slip0_sx1_s388_rx1_e528_bh171_trw12_k1p26_w7_m4p5_ebd33da275,net_drop_rebound_entry_peak_anchor_v4_4_all_window_rolling_tr_sum_calculated_execution_price_h_bounded_max_completed_w_drop_rebound_strict_low_close_fill_sample_end_close_pending_exit_next_real_trade_open_combined_exit,combined,True,True,116,0.8568845456451368,0.0146802237694778,0.0055765567092809,-0.1522694190459608,36,4,0.2061157796451667,0.5130229696472765,67,1,38,77,False,False,False,0,v4_4_scenario_groups_single_select_combined_exit_v3_20260801,single,0.1522694190459608,v4_4_positive_entry_signal_repair_20260805,continuation_round_19_ai_known_grid_all_window,F:\Backtest\Backtest V4.4\results\campaigns\v4_4_positive_entry_signal_repair_20260805\continuation_round_19_ai_known_grid_all_window,fedd7ee587d2cb819700591b3c5e84e9c78fcce8a085cae134b8a148dfdd8a3b,v4_4_positive_entry_signal_repair_20260805::continuation_round_19_ai_known_grid_all_window,0,market_01|market_02|market_03,0.7819486949608532,0.0052196903498339,-0.1595507362234223,0.1595507362234223,3.568663594470046,1006903.2,1283772.0,2290675.2,KRW,k200m_shadow_cost_v2_derived_krw_notional_20260803,1006903.2,1283772.0,2290675.2,0,0,585.0,1557.25,,,,9476.0,,
